id,indirizzo,latitudine,longitudine,prezzo_benzina,prezzo_diesel
10967,VIA PIRANDELLO TANGENZIALE NORD 49/51 41123,44.664076110495806,10.889076590538025,1.909,1.889
55337,Str. Nazionale per Carpi 982  41100,44.6988288,10.846208,1.87063671875,1.8427372549019605
52012,Via Giardini 208 41124,44.641538556790394,10.913616840680213,1.909,1.859
53120,GIARDINI 450 41124,44.6367601294995,10.90469542563369,1.909,1.859
8923,STRADA ALBARETO 599 41122,44.68813917035347,10.964259579777718,1.869,1.839
48087,VIA CANALETO  1061 41122,44.71119062920869,10.961754273073584,1.879,1.869
50214,via salvo d'aquisto  100 41125,44.62511513314275,10.91745640135029,1.849,1.839
51546,STRADA VIGNOLESE 1601 41126,44.57627142839783,10.981185686621604,1.87063671875,1.8427372549019605
23025,Via Francia 5 41122,44.66784908216163,10.93820069723995,1.839,1.799
30805,VIA NAZIONALE PER CARPI C. 427 41123,44.66777758514823,10.898232743516473,1.87063671875,1.8427372549019605
36132,BUON PASTORE 187 41125,44.63654061828721,10.921586763229357,1.87063671875,1.8427372549019605
56568,EMILIA EST 1250 41126,44.62663351877246,10.973013639450073,1.839,1.829
34776,VIA GIARDINI 1171 41126,44.61600745853592,10.883417129516602,1.829,1.809
34779, COMPLANARE LUIGI EINAUDI 800 41126,44.60755714996136,10.911726504564285,1.869,1.829
54384,EMILIA EST 821 41013,44.63601,10.95150,1.859,1.839
57840,GIOVANNI AMENDOLA 431 41125,44.63356,10.91405,1.879,1.869
41264,VIA BONACINI 94 41121,44.64263464364794,10.941411841139256,1.889,1.839
35334,VIA EMILIA OVEST 314 41123,44.65293915572496,10.9114995226264,1.839,1.839
10431,AMENDOLA 408 41125,44.633135842485046,10.913093773541277,1.929,1.879
14567,VIA EMILIA OVEST 842 41123,44.65682421667659,10.881670485705627,1.87063671875,1.8427372549019605
30964,MALAVOLTI 1 41122,44.65138167943351,10.959688425064087,1.904,1.884
23716,Via Pietro Giardini 430 41126,44.63846675864469,10.905767525131296,1.839,1.839
50642,VIA NUOVA ESTENSE 101 41126,44.63064935108529,10.95508480009775,1.839,1.829
32669,VIA EMILIA OVEST 642 41100,44.65865516498597,10.89519597668641,1.889,1.879
7278,TANGENZIALE BARCHETTA SUD SN 41123,44.663845953540374,10.889363698425313,1.899,1.889
28104,MODENA - STRADA VIGNOLESE 888 41100,44.62724390487652,10.947204606151558,1.839,1.819
6532,MO/SASSUOLO 1601 LOC BAGGIOVAR SNC 41100,44.60631945732274,10.853898582803367,1.839,1.819
6533,VIA DELLE MORANE 338 41100,44.628684762154954,10.926729767459165,1.849,1.839
6530,VIA VIGNOLESE 386 41100,44.634213681880865,10.936130892590313,1.829,1.799
11721,VIA CONTRADA 286 41126,44.61523054883974,10.916531020832053,1.839,1.809
11720,VIA EMILIA EST 1050 41126,44.630228316042924,10.964385015869084,1.849,1.829
10715,Viale A. LA MARMORA  157/159 41122,44.666739191838744,10.921456217765808,1.849,1.839
18251,Via Nazionale per Carpi Nord 1423 41123,44.70261106586423,10.895053558051586,1.879,1.829
25129,VIA VIGNOLESE 394 41124,44.633949593147584,10.936519503593445,1.889,1.844
25034," COMPLANARE LUIGI EINAUDI 895, 41126  ",44.607504279497604,10.909295082092285,1.879,1.824
